,Date,HomeTeam,HomeScore,AwayTeam,AwayScore,HomeScoreAverage,HomeDefenseAverage,AwayScoreAverage,AwayDefenseAverage,Result
7431,2016-12-06,Harvard,86,Northeastern,80,70.8,64.6,73.28571428571429,74.14285714285714,6
7432,2016-12-06,Fairfield,64,Bucknell,75,74.66666666666667,70.66666666666667,72.0,77.0,-11
7433,2016-12-06,Navy,76,Bryant University,74,69.14285714285714,67.28571428571429,70.57142857142857,87.28571428571429,2
7435,2016-12-06,Hofstra,75,St Bonaventure,81,75.2,70.6,84.5,70.5,-6
7436,2016-12-06,Marquette,84,Fresno State,81,86.375,70.0,71.25,72.25,3
7437,2016-12-06,American University,70,New Hampshire,80,63.5,68.0,61.0,71.6,-10
7438,2016-12-06,Lipscomb,76,Belmont,78,87.16666666666667,74.66666666666667,72.6,78.6,-2
7439,2016-12-06,Minnesota,74,NJIT,68,76.75,64.875,75.6,80.8,6
7440,2016-12-06,Illinois,85,IUPUI,77,84.375,70.875,71.71428571428571,80.42857142857143,8
7441,2016-12-06,Kansas,105,UMKC,62,87.71428571428571,62.285714285714285,70.75,85.0,43
7442,2016-12-06,Evansville,69,Bowling Green,66,73.71428571428571,62.142857142857146,66.0,77.5,3
7443,2016-12-06,Utah,87,Utah Valley,80,84.85714285714286,62.857142857142854,85.4,89.6,7
7444,2016-12-06,Vanderbilt,90,High Point,63,77.42857142857143,65.28571428571429,68.0,83.25,27
7445,2016-12-06,Wichita State,75,Saint Louis,45,89.16666666666667,54.666666666666664,54.666666666666664,76.33333333333333,30
7446,2016-12-06,Missouri,81,Miami (OH),55,73.14285714285714,61.42857142857143,71.0,85.66666666666667,26
7447,2016-12-06,Kansas State,74,Prairie View A&M,55,77.0,57.142857142857146,62.714285714285715,87.0,19
7448,2016-12-06,Notre Dame,87,Purdue Fort Wayne,72,91.57142857142857,60.57142857142857,78.75,88.25,15
7449,2016-12-06,DePaul,80,Lamar,61,73.16666666666667,66.5,67.0,77.5,19
7450,2016-12-06,Duke,84,Florida,74,85.5,64.3,82.5,72.0,10
7453,2016-12-06,Michigan,53,Texas,50,70.33333333333333,58.0,54.0,66.0,3
7454,2016-12-06,Seton Hall,68,Hawaii,57,79.66666666666667,66.83333333333333,57.0,68.0,11
7455,2016-12-06,Arizona,79,UC Irvine,57,77.0,62.285714285714285,61.8,66.6,22
7457,2016-12-07,Maine,55,Holy Cross,53,70.0,66.2,53.166666666666664,63.833333333333336,2
7459,2016-12-07,Colgate,64,Binghamton,73,73.33333333333333,70.66666666666667,64.85714285714286,73.14285714285714,-9
7460,2016-12-07,West Virginia,90,Western Carolina,37,94.0,57.42857142857143,48.714285714285715,76.57142857142857,53
7461,2016-12-07,Seton Hall,60,California,57,76.85714285714286,65.42857142857143,61.333333333333336,62.666666666666664,3
7462,2016-12-07,Pittsburgh,84,Buffalo,79,80.33333333333333,74.33333333333333,74.83333333333333,83.0,5
7463,2016-12-07,Gardner-Webb,69,Hampton,63,85.5,61.5,57.333333333333336,71.5,6
7464,2016-12-07,Northern Kentucky,80,Eastern Illinois,70,79.75,71.25,74.0,75.0,10
7465,2016-12-07,Kent State,100,Niagara,72,93.8,64.2,72.14285714285714,79.71428571428571,28
7467,2016-12-07,Virginia Commonwealth,73,Georgia Tech,76,71.28571428571429,65.28571428571429,64.66666666666667,73.66666666666667,-3
7468,2016-12-07,Towson,70,Loyola (MD),53,76.2,56.0,57.5,72.5,17
7469,2016-12-07,Akron,87,Coppin State,63,80.33333333333333,56.166666666666664,54.0,85.44444444444444,24
7470,2016-12-07,Jacksonville,76,Eastern Kentucky,80,82.5,65.25,70.0,83.25,-4
7471,2016-12-07,Louisville,74,Southern Illinois,51,77.33333333333333,54.666666666666664,65.5,76.0,23
7472,2016-12-07,Toledo,73,Detroit Mercy,65,80.75,78.5,71.5,90.16666666666667,8
7474,2016-12-07,Penn State,66,George Mason,85,71.875,70.25,68.0,68.75,-19
7475,2016-12-07,Albany,78,Marist,66,77.0,65.0,67.5,84.0,12
7476,2016-12-07,Vermont,73,Dartmouth,58,70.0,54.8,63.2,78.0,15
7477,2016-12-07,Army,79,Air Force,71,79.33333333333333,66.5,70.5,78.5,8
7478,2016-12-07,Cleveland State,85,Western Michigan,62,75.0,62.666666666666664,66.4,82.8,23
7479,2016-12-07,Quinnipiac,99,Hartford,79,76.85714285714286,81.71428571428571,75.33333333333333,83.0,20
7480,2016-12-07,Boston College,66,Harvard,74,73.71428571428571,70.28571428571429,70.0,72.0,-8
7481,2016-12-07,Indiana State,72,Butler,71,77.0,59.333333333333336,71.66666666666667,65.66666666666667,1
7482,2016-12-07,Fairleigh Dickinson,73,Iona,90,86.33333333333333,70.0,76.85714285714286,72.57142857142857,-17
7484,2016-12-07,Boston University,77,Canisius,87,84.2,70.2,79.0,81.14285714285714,-10
7485,2016-12-07,Southeast Missouri State,71,Missouri State,79,81.75,67.0,71.66666666666667,74.0,-8
7486,2016-12-07,Temple,63,George Washington,66,74.0,68.8,72.5,74.75,-3
7488,2016-12-07,Pennsylvania,81,Lafayette,52,69.0,67.0,58.75,74.5,29
7489,2016-12-07,SMU,74,TCU,59,71.75,58.75,71.66666666666667,71.0,15
7490,2016-12-07,Wisconsin,78,Idaho State,44,80.28571428571429,54.857142857142854,65.125,82.25,34
7491,2016-12-07,Loyola (IL),77,Wright State,64,80.5,56.5,68.25,77.75,13
7493,2016-12-07,Oklahoma,92,Oral Roberts,66,82.0,66.28571428571429,62.8,81.6,26
7494,2016-12-07,Northern Iowa,86,South Dakota State,58,67.25,54.0,64.0,80.83333333333333,28
7496,2016-12-07,Texas Tech,87,UTSA,50,82.5,59.0,62.0,75.14285714285714,37
7497,2016-12-07,Kentucky,87,Valparaiso,63,94.85714285714286,71.14285714285714,69.25,78.0,24
7498,2016-12-07,Stephen F Austin,73,UAB,84,76.0,68.25,70.0,77.33333333333333,-11
7499,2016-12-07,Tulsa,70,Illinois State,68,73.75,71.0,69.66666666666667,74.33333333333333,2
7501,2016-12-07,Tulane,84,Southern University,75,76.66666666666667,81.33333333333333,74.0,80.0,9
7502,2016-12-07,Texas Rio Grande Valley,72,Texas State,61,79.0,77.25,59.5,66.5,11
7503,2016-12-07,North Dakota State,56,North Dakota,74,76.75,63.5,71.25,67.5,-18
7504,2016-12-07,Virginia Tech,75,Maryland-Eastern Shore,59,83.16666666666667,68.5,65.57142857142857,82.0,16
7505,2016-12-07,SIU-Edwardsville,72,Stetson,80,72.0,79.66666666666667,68.83333333333333,82.66666666666667,-8
7506,2016-12-07,Grand Canyon,76,San Diego State,72,72.4,68.2,59.666666666666664,70.0,4
7507,2016-12-07,New Mexico,78,UTEP,77,82.5,71.5,65.5,69.5,1
7508,2016-12-07,Colorado,68,Xavier,66,74.75,64.875,69.25,71.25,2
7509,2016-12-07,Maryland,79,Howard,56,74.33333333333333,64.33333333333333,58.0,79.6,23
7510,2016-12-07,Montana,81,San Jose State,62,74.0,62.75,68.0,71.75,19
7511,2016-12-07,North Carolina,83,Davidson,74,91.0,63.166666666666664,70.2,66.2,9
7512,2016-12-07,Nebraska,62,Creighton,77,69.42857142857143,62.142857142857146,77.0,62.0,-15
7513,2016-12-07,BYU,77,Weber State,66,86.875,74.25,63.75,71.75,11
7514,2016-12-07,South Dakota,74,Montana State,57,80.5,63.166666666666664,71.0,79.5,17
7515,2016-12-07,Princeton,75,Hawaii,62,78.0,56.666666666666664,59.5,71.5,13
7516,2016-12-07,Washington State,61,Idaho,48,73.75,71.75,56.0,62.5,13
7517,2016-12-07,San Diego,82,Cal State Fullerton,75,71.66666666666667,75.5,67.2,80.0,7
7518,2016-12-07,Long Beach State,75,Pepperdine,66,85.0,62.5,66.0,75.0,9
7519,2016-12-07,Gonzaga,98,Washington,71,89.66666666666667,65.33333333333333,76.0,77.0,27
7521,2016-12-08,Massachusetts,72,Pacific,48,71.0,62.833333333333336,67.4,83.6,24
7522,2016-12-08,Middle Tennessee,71,Vanderbilt,48,78.16666666666667,65.33333333333333,57.0,74.0,23
7523,2016-12-08,Arkansas-Little Rock,67,Arkansas-Pine Bluff,52,78.6,61.0,50.833333333333336,71.0,15
7524,2016-12-08,North Texas,73,Delaware State,40,73.57142857142857,67.28571428571429,62.75,78.375,33
7525,2016-12-08,Sacred Heart,52,Yale,66,74.2,80.4,67.83333333333333,70.83333333333333,-14
7526,2016-12-08,Iowa,78,Iowa State,64,86.66666666666667,80.0,69.33333333333333,69.0,14
7527,2016-12-08,Florida State,118,Nicholls State,63,95.5,71.25,74.375,88.875,55
7530,2016-12-08,Loyola Marymount,75,Southern Utah,68,78.6,65.2,69.25,80.0,7
7531,2016-12-09,UNC Greensboro,75,Wake Forest,78,76.0,61.375,78.4,69.8,-3
7533,2016-12-09,Navy,69,Columbia,54,69.125,65.625,69.8,78.6,15
7534,2016-12-09,Boston College,63,Hartford,65,72.375,69.625,73.85714285714286,80.14285714285714,-2
7535,2016-12-09,Creighton,113,Longwood,58,93.22222222222223,72.11111111111111,63.333333333333336,88.66666666666667,55
7537,2016-12-09,Florida Gulf Coast,73,Siena,69,83.0,64.2,72.0,80.14285714285714,4
7539,2016-12-09,Minnesota,86,Georgia Southern,49,77.77777777777777,63.111111111111114,72.0,76.14285714285714,37
7541,2016-12-10,DePaul,65,Temple,74,72.0,67.57142857142857,77.8,74.0,-9
7542,2016-12-10,Syracuse,99,Boston University,77,77.625,59.25,68.6,78.8,22
7543,2016-12-10,Notre Dame,66,Villanova,74,88.375,62.25,81.16666666666667,68.66666666666667,-8
7544,2016-12-10,Purdue,77,Cleveland State,53,84.57142857142857,63.0,65.5,83.0,24
7546,2016-12-10,Providence,75,Massachusetts,69,74.85714285714286,58.285714285714285,75.0,75.0,6
7547,2016-12-10,Missouri,60,Arizona,79,71.5,63.625,69.66666666666667,64.0,-19
7548,2016-12-10,Bowling Green,74,Detroit Mercy,61,76.33333333333333,67.33333333333333,70.0,87.85714285714286,13
7549,2016-12-10,Morgan State,66,Wagner,68,75.66666666666667,71.5,67.8,67.6,-2
7550,2016-12-10,Vermont,57,Northeastern,59,67.83333333333333,55.5,71.5,72.0,-2
7551,2016-12-10,Memphis,62,UAB,55,80.28571428571429,66.28571428571429,66.25,73.5,7
7552,2016-12-10,Western Michigan,74,James Madison,67,84.0,75.25,66.5,70.0,7
7553,2016-12-10,Marist,64,Jacksonville,85,72.2,76.0,73.14285714285714,70.28571428571429,-21
7554,2016-12-10,Houston,82,Rhode Island,77,90.16666666666667,59.5,68.0,71.2,5
7555,2016-12-10,South Dakota,72,Sacramento State,56,79.28571428571429,62.142857142857146,57.4,79.2,16
7556,2016-12-10,Air Force,65,Denver,77,81.88888888888889,70.66666666666667,69.71428571428571,71.0,-12
7557,2016-12-10,American University,77,Youngstown State,62,66.2,66.8,71.28571428571429,81.0,15
7559,2016-12-10,West Virginia,90,Virginia Military,55,93.5,57.125,66.0,80.2,35
7560,2016-12-10,Marquette,84,Wisconsin,93,86.11111111111111,72.55555555555556,72.25,72.75,-9
7561,2016-12-10,Southern Illinois,73,Sam Houston State,79,79.16666666666667,74.33333333333333,70.0,80.0,-6
7562,2016-12-10,Michigan State,71,Tennessee Tech,63,72.44444444444444,67.22222222222223,67.83333333333333,77.83333333333333,8
7564,2016-12-10,Duquesne,70,Central Connecticut State,67,73.42857142857143,71.14285714285714,62.8,72.8,3
7565,2016-12-10,Iona,79,Ohio,75,68.5,74.5,76.66666666666667,79.33333333333333,4
7567,2016-12-10,Ball State,91,Eastern Kentucky,86,79.8,70.8,73.2,84.8,5
7568,2016-12-10,Pennsylvania,60,George Mason,79,66.0,71.0,70.2,67.0,-19
7569,2016-12-10,Louisville,102,Texas Southern,71,80.85714285714286,57.0,72.0,77.22222222222223,31
7570,2016-12-10,Colgate,66,Albany,74,71.5,71.5,68.8,72.4,-8
7571,2016-12-10,Dartmouth,68,Maine,73,66.33333333333333,75.66666666666667,70.6,80.4,-5
7572,2016-12-10,Binghamton,85,Loyola (MD),90,77.6,71.4,62.142857142857146,74.28571428571429,-5
7573,2016-12-10,Towson,90,Fairleigh Dickinson,87,78.5,61.166666666666664,68.33333333333333,83.33333333333333,3
7574,2016-12-10,Georgetown,93,La Salle,78,82.5,69.375,86.33333333333333,89.33333333333333,15
7575,2016-12-10,Buffalo,87,Coppin State,52,77.0,57.25,53.8,85.6,35
7576,2016-12-10,Canisius,91,St Francis (BKN),81,72.66666666666667,75.0,58.57142857142857,77.28571428571429,10
7577,2016-12-10,Liberty,64,Princeton,67,68.28571428571429,60.714285714285715,69.6,71.6,-3
7578,2016-12-10,Dayton,75,East Tennessee State,61,77.66666666666667,62.166666666666664,68.66666666666667,68.33333333333333,14
7579,2016-12-10,Pittsburgh,81,Penn State,73,80.42857142857143,74.14285714285714,71.66666666666667,75.66666666666667,8
7580,2016-12-10,Purdue Fort Wayne,98,Austin Peay,58,93.28571428571429,64.42857142857143,68.5,85.5,40
7581,2016-12-10,Gardner-Webb,65,Furman,68,81.4,62.8,69.83333333333333,68.66666666666667,-3
7582,2016-12-10,Niagara,65,Norfolk State,61,74.66666666666667,70.33333333333333,60.333333333333336,78.0,4
7583,2016-12-10,Bryant University,73,New Hampshire,86,76.0,68.5,65.16666666666667,71.83333333333333,-13
7584,2016-12-10,Southeast Missouri State,66,Northern Kentucky,80,78.6,69.6,75.5,68.0,-14
7585,2016-12-10,Illinois State,74,Tennessee-Martin,57,77.2,63.6,71.16666666666667,78.5,17
7586,2016-12-10,Western Illinois,49,Eastern Illinois,63,71.75,68.25,71.8,69.8,-14
7589,2016-12-10,Illinois,92,Central Michigan,73,85.22222222222223,71.11111111111111,84.0,80.0,19
7591,2016-12-10,Drake,63,Jackson State,68,68.4,70.0,65.16666666666667,77.33333333333333,-5
7592,2016-12-10,Kansas,89,Nebraska,72,87.875,63.5,67.0,77.0,17
7593,2016-12-10,Miami (OH),71,IUPUI,68,75.14285714285714,70.0,71.25,79.25,3
7594,2016-12-10,Indiana,103,Houston Baptist,61,90.0,65.0,72.6,96.4,42
7595,2016-12-10,Evansville,78,Murray State,46,74.25,60.125,76.0,82.33333333333333,32
7596,2016-12-10,Arkansas-Little Rock,70,Central Arkansas,59,77.16666666666667,60.666666666666664,65.625,81.375,11
7597,2016-12-10,Loyola (IL),72,Milwaukee,56,79.28571428571429,56.42857142857143,61.857142857142854,69.71428571428571,16
7598,2016-12-10,Colorado State,81,Northern Colorado,64,76.5,66.625,65.0,79.16666666666667,17
7599,2016-12-10,Clemson,90,Mercer,47,78.4,57.2,60.4,75.2,43
7600,2016-12-10,Radford,68,Elon,56,74.25,64.25,72.25,71.5,12
7604,2016-12-10,Robert Morris,53,Oakland,74,60.6,64.8,77.0,67.0,-21
7606,2016-12-10,Oklahoma,73,Wichita State,76,80.875,67.5,72.8,65.2,-3
7607,2016-12-10,George Washington,79,Howard,62,68.0,65.28571428571429,58.666666666666664,79.5,17
7609,2016-12-10,North Carolina State,67,Tennessee State,55,78.28571428571429,68.57142857142857,68.42857142857143,66.71428571428571,12
7610,2016-12-10,Butler,75,Cincinnati,65,80.28571428571429,60.42857142857143,63.666666666666664,59.666666666666664,10
7611,2016-12-10,Tulsa,67,Oklahoma State,71,72.4,71.0,78.5,83.75,-4
7613,2016-12-10,UCF,76,Maryland-Eastern Shore,58,74.5,56.333333333333336,64.625,81.25,18
7614,2016-12-10,TCU,72,Wofford,63,82.0,63.57142857142857,61.666666666666664,73.66666666666667,9
7615,2016-12-10,Lipscomb,98,Morehead State,84,88.71428571428571,76.0,67.2,83.6,14
7617,2016-12-10,Texas State,64,Prairie View A&M,57,74.8,60.0,62.0,84.125,7
7620,2016-12-10,UNLV,45,Duke,94,72.0,70.71428571428571,94.0,45.0,-49
7621,2016-12-10,Southern Miss,64,Tulane,71,68.6,68.8,67.0,77.25,-7
7622,2016-12-10,Xavier,77,Utah,69,79.83333333333333,62.833333333333336,69.0,77.0,8
7624,2016-12-10,Arkansas,91,North Florida,76,86.75,70.375,67.33333333333333,80.16666666666667,15
7625,2016-12-10,Texas,71,Long Beach State,65,75.33333333333333,64.83333333333333,68.5,87.6,6
7626,2016-12-10,Ohio State,64,Connecticut,60,75.875,60.75,67.5,64.5,4
7627,2016-12-10,St Bonaventure,80,North Carolina-Wilmington,81,81.6,77.8,80.25,75.75,-1
7628,2016-12-10,Wyoming,85,Montana,83,80.0,67.0,71.16666666666667,81.66666666666667,2
7629,2016-12-10,Utah Valley,79,Utah State,80,80.5,69.0,66.5,71.75,-1
7630,2016-12-10,San Diego State,63,Arizona State,74,78.0,64.6,72.66666666666667,77.0,-11
7632,2016-12-10,Manhattan,60,Fordham,53,74.25,73.0,56.5,77.5,7
7633,2016-12-10,Monmouth,81,Army,71,83.0,69.4,77.5,82.5,10
7634,2016-12-10,Marshall,111,Toledo,105,90.66666666666667,77.16666666666667,82.16666666666667,87.83333333333333,6
7635,2016-12-10,Stetson,87,South Alabama,78,87.66666666666667,78.66666666666667,73.5,70.5,9
7636,2016-12-10,Stony Brook,66,Rutgers,71,69.5,68.83333333333333,66.0,66.0,-5
7638,2016-12-10,Coastal Carolina,70,North Carolina Central,67,77.14285714285714,66.57142857142857,66.57142857142857,67.71428571428571,3
7640,2016-12-10,Kent State,87,NJIT,71,92.66666666666667,65.33333333333333,74.83333333333333,81.83333333333333,16
7641,2016-12-10,Fresno State,73,Cal Poly,59,76.6,68.0,67.0,76.4,14
7642,2016-12-10,Richmond,78,UMBC,75,70.66666666666667,67.33333333333333,75.4,74.2,3
7643,2016-12-10,Old Dominion,64,Virginia Commonwealth,67,61.4,60.6,72.0,65.66666666666667,-3
7644,2016-12-10,Missouri State,81,Valparaiso,84,86.4,57.6,72.2,78.6,-3
7646,2016-12-10,Northern Iowa,78,North Dakota,70,69.4,57.2,71.0,69.6,8
7647,2016-12-10,Gonzaga,61,Akron,43,85.57142857142857,62.142857142857146,69.75,77.0,18
7648,2016-12-10,Nebraska-Omaha,97,Montana State,91,98.66666666666667,85.33333333333333,75.0,83.0,6
7649,2016-12-10,Kansas State,70,Washington State,56,76.125,57.0,66.5,86.5,14
7651,2016-12-10,Rice,70,Stephen F Austin,63,78.2,69.4,65.25,78.0,7
7652,2016-12-10,South Dakota State,80,Idaho,77,76.66666666666667,66.0,60.2,66.0,3
7653,2016-12-10,Louisiana-Monroe,88,Jacksonville State,83,87.0,72.66666666666667,73.0,77.25,5
7654,2016-12-10,UCLA,102,Michigan,84,97.55555555555556,74.11111111111111,71.25,69.5,18
7655,2016-12-10,Louisiana-Lafayette,91,Louisiana Tech,83,95.0,69.0,68.0,77.25,8
7657,2016-12-10,Bradley,83,Chicago State,48,72.625,70.75,63.166666666666664,83.33333333333333,35
7658,2016-12-10,Cal State Fullerton,75,Southern Utah,62,81.8,70.0,67.8,79.0,13
7659,2016-12-10,Grand Canyon,73,Illinois-Chicago,69,72.5,68.33333333333333,78.8,81.8,4
7660,2016-12-10,New Mexico State,84,New Mexico,71,84.0,67.57142857142857,68.5,79.75,13
7662,2016-12-10,Cal State Bakersfield,81,Portland State,79,76.57142857142857,60.42857142857143,80.4,87.6,2
7663,2016-12-10,BYU,79,Colorado,71,86.0,73.88888888888889,73.5,71.0,8
7664,2016-12-10,Cal State Northridge,68,Loyola Marymount,69,80.0,78.8,66.5,73.5,-1
7665,2016-12-10,Pacific,66,Rider,73,72.25,63.5,70.16666666666667,66.66666666666667,-7
7666,2016-12-10,California,86,UC Davis,61,76.0,59.0,65.8,74.0,25
7668,2016-12-11,Virginia Tech,80,Ole Miss,75,82.71428571428571,69.42857142857143,82.33333333333333,84.66666666666667,5
7670,2016-12-11,Holy Cross,75,Quinnipiac,57,71.25,65.5,68.0,82.5,18
7671,2016-12-11,Lafayette,61,Sacred Heart,85,69.0,79.0,69.83333333333333,75.66666666666667,-24
7675,2016-12-11,Yale,81,Delaware,63,76.33333333333333,66.33333333333333,65.5,67.5,18
7677,2016-12-11,Kentucky,96,Hofstra,73,95.0,71.375,82.5,87.0,23
7678,2016-12-11,Saint Louis,45,Chicago State,43,64.66666666666667,70.83333333333333,60.285714285714285,77.85714285714286,2
7680,2016-12-11,Florida State,83,Florida,78,94.11111111111111,72.0,81.0,75.66666666666667,5
7681,2016-12-11,Indiana State,59,Western Kentucky,77,72.5,63.75,64.4,71.4,-18
7682,2016-12-11,Minnesota,77,Northern Illinois,57,77.7,62.5,63.666666666666664,74.66666666666667,20
7684,2016-12-11,North Carolina,73,Tennessee,71,88.42857142857143,64.28571428571429,73.25,74.25,2
7685,2016-12-11,Oregon,65,Alabama,56,81.375,61.625,62.0,71.0,9
7687,2016-12-11,Oregon State,90,Savannah State,93,73.66666666666667,66.66666666666667,81.875,106.625,-3
7688,2016-12-11,Northwestern,83,New Orleans,49,79.625,62.5,62.6,83.8,34
7689,2016-12-11,San Diego,77,UC Santa Barbara,68,72.42857142857143,74.42857142857143,66.75,83.5,9
7690,2016-12-11,Washington,85,Nevada,87,90.83333333333333,85.33333333333333,77.0,74.25,-2
7692,2016-12-11,Florida Gulf Coast,82,Florida International,63,82.83333333333333,64.0,67.33333333333333,77.5,19
7693,2016-12-11,USC,93,Pepperdine,67,86.14285714285714,69.0,66.5,84.0,26
7694,2016-12-12,Boston College,72,Auburn,71,72.33333333333333,69.77777777777777,72.5,71.0,1
7695,2016-12-12,UCF,49,Pennsylvania,58,70.85714285714286,56.57142857142857,67.33333333333333,63.0,-9
7697,2016-12-12,South Florida,79,Bethune-Cookman,73,73.0,70.8,69.5,88.33333333333333,6
7698,2016-12-12,Canisius,77,Albany,64,73.75,72.25,68.0,73.16666666666667,13
7699,2016-12-12,George Mason,97,Longwood,60,80.28571428571429,70.0,62.5,90.75,37
7700,2016-12-12,Maryland,92,Jacksonville State,66,75.18181818181819,63.72727272727273,72.22222222222223,78.88888888888889,26
7701,2016-12-12,Lehigh,100,St Francis (PA),67,80.0,64.0,72.6,85.2,33
7703,2016-12-12,Texas Rio Grande Valley,98,North Florida,84,82.8,78.6,69.71428571428571,82.71428571428571,14
7706,2016-12-12,Seton Hall,67,South Carolina,64,75.625,65.25,64.0,58.5,3
7707,2016-12-12,Seattle,63,Arkansas-Pine Bluff,58,80.0,67.5,51.857142857142854,69.85714285714286,5
7708,2016-12-12,San Diego State,73,Alabama State,41,77.16666666666667,60.666666666666664,59.857142857142854,81.42857142857143,32
7709,2016-12-13,Yale,90,Central Connecticut State,59,79.75,64.5,62.166666666666664,75.66666666666667,31
7710,2016-12-13,Cincinnati,96,Texas Southern,58,81.57142857142857,59.857142857142854,70.6,79.1,38
7711,2016-12-13,Tennessee,74,Tennessee Tech,68,83.4,70.4,67.85714285714286,77.28571428571429,6
7712,2016-12-13,Hartford,70,Dartmouth,66,69.8,74.6,63.666666666666664,76.66666666666667,4
7713,2016-12-13,Florida Gulf Coast,59,Georgia Southern,72,79.42857142857143,65.14285714285714,72.0,74.0,-13
7714,2016-12-13,Hofstra,96,Stony Brook,58,78.66666666666667,68.5,64.75,85.75,38
7715,2016-12-13,Villanova,78,Temple,57,78.6,54.8,74.33333333333333,74.66666666666667,21
7716,2016-12-13,Virginia Military,88,Charleston Southern,83,71.75,70.75,65.5,79.25,5
7717,2016-12-13,USC Upstate,76,Presbyterian,48,80.6,65.4,56.333333333333336,82.5,28
7720,2016-12-13,Clemson,93,South Carolina State,65,80.83333333333333,58.5,56.75,86.875,28
7722,2016-12-13,Louisiana Tech,65,Prairie View A&M,52,81.83333333333333,58.0,60.888888888888886,82.0,13
7723,2016-12-13,South Alabama,51,Denver,64,69.66666666666667,60.5,69.0,68.5,-13
7724,2016-12-13,LSU,70,North Carolina Central,66,74.57142857142857,71.14285714285714,66.5,68.0,4
7725,2016-12-13,Memphis,79,Monmouth,82,80.125,68.25,75.5,73.33333333333333,-3
7726,2016-12-13,Michigan,97,Central Arkansas,53,74.14285714285714,57.285714285714285,64.22222222222223,83.11111111111111,44
7727,2016-12-13,UTEP,68,New Mexico State,79,74.16666666666667,77.0,63.75,63.75,-11
7728,2016-12-13,Eastern Washington,88,Morehead State,86,86.14285714285714,76.0,70.33333333333333,84.33333333333333,2
7729,2016-12-13,Oregon,81,Montana,67,81.33333333333333,62.22222222222222,70.57142857142857,81.57142857142857,14
7730,2016-12-13,Santa Clara,77,UC Riverside,53,70.625,62.875,58.6,81.0,24
7734,2016-12-14,Georgia,73,Louisiana-Lafayette,60,77.14285714285714,68.14285714285714,78.2,77.0,13
7735,2016-12-14,Youngstown State,101,Niagara,97,91.8,81.6,75.25,82.375,4
7736,2016-12-14,Campbell,75,North Carolina-Wilmington,96,78.8,67.6,83.4,75.6,-21
7737,2016-12-14,Baylor,89,Southern University,59,76.14285714285714,58.57142857142857,71.5,81.5,30
7739,2016-12-14,Rutgers,82,Fairleigh Dickinson,69,78.375,60.0,68.42857142857143,83.14285714285714,13
7740,2016-12-14,Rider,81,Kennesaw State,79,73.0,74.66666666666667,72.85714285714286,81.0,2
7741,2016-12-14,Iona,94,NJIT,80,77.0,76.33333333333333,75.57142857142857,83.57142857142857,14
7742,2016-12-14,Ohio,71,Milwaukee,69,78.2,64.2,62.75,69.875,2
7745,2016-12-14,Howard,59,Jacksonville State,72,69.33333333333333,73.33333333333333,72.2,76.9,-13
7746,2016-12-14,Northwestern,68,Chicago State,64,78.33333333333333,62.666666666666664,60.75,76.625,4
7747,2016-12-14,Mississippi State,65,East Tennessee State,67,71.14285714285714,65.42857142857143,68.25,67.5,-2
7748,2016-12-14,Tennessee-Martin,68,Arkansas State,87,87.66666666666667,75.0,69.0,70.0,-19
7749,2016-12-14,Belmont,66,Middle Tennessee,79,73.33333333333333,70.0,72.8,63.2,-13
7751,2016-12-14,DePaul,75,Illinois-Chicago,80,72.375,69.125,79.0,80.66666666666667,-5
7752,2016-12-14,North Dakota State,74,UC Davis,70,76.2,64.8,66.5,74.0,4
7753,2016-12-14,Minnesota,76,LIU Brooklyn,66,77.54545454545455,62.81818181818182,71.14285714285714,77.57142857142857,10
7755,2016-12-14,Southern Illinois,70,Saint Louis,55,77.85714285714286,71.57142857142857,54.75,74.75,15
7756,2016-12-14,Evansville,85,Norfolk State,66,75.44444444444444,60.77777777777778,61.142857142857146,79.0,19
7757,2016-12-14,SMU,92,McNeese State,56,74.0,58.44444444444444,63.5,96.25,36
7758,2016-12-14,Missouri State,86,Oral Roberts,76,86.33333333333333,60.666666666666664,65.0,82.33333333333333,10
7760,2016-12-14,Tennessee State,68,Alabama State,46,77.66666666666667,58.333333333333336,58.125,79.75,22
7761,2016-12-14,Northern Arizona,67,Arkansas-Little Rock,72,67.33333333333333,71.5,77.0,72.8,-5
7762,2016-12-14,Wisconsin,73,Green Bay,59,79.375,55.375,75.0,78.71428571428571,14
7763,2016-12-14,Texas Tech,89,Nicholls State,46,83.22222222222223,57.55555555555556,71.22222222222223,88.88888888888889,43
7764,2016-12-14,Oklahoma State,102,Arkansas-Pine Bluff,66,103.5,74.66666666666667,53.625,73.875,36
7766,2016-12-14,UNLV,92,Incarnate Word,64,74.5,69.875,61.666666666666664,79.66666666666667,28
7767,2016-12-14,Nevada,76,UC Irvine,69,80.14285714285714,69.57142857142857,61.57142857142857,70.42857142857143,7
7769,2016-12-14,UCLA,102,UC Santa Barbara,62,98.0,72.9,65.8,87.2,40
7770,2016-12-14,Arizona,64,Grand Canyon,54,75.375,61.25,68.75,79.25,10
7773,2016-12-15,Florida International,68,Georgia Southern,75,76.0,67.8,72.33333333333333,73.33333333333333,-7
7774,2016-12-15,George Washington,74,UCF,59,68.75,64.5,61.333333333333336,58.666666666666664,15
7775,2016-12-15,East Carolina,35,Charleston,53,65.75,55.875,57.0,54.0,-18
7777,2016-12-15,Tennessee,92,Lipscomb,77,84.83333333333333,71.5,70.5,85.16666666666667,15
